class,confidence_prediction,confidence_threshold,true_label
nature_remo,0.63,0.6484045534354725,nature_remo
nature_remo,0.61,0.6484045534354725,nature_remo
nature_remo,0.64,0.6484045534354725,nature_remo
nature_remo,0.61,0.6484045534354725,nature_remo
nature_remo,0.62,0.6484045534354725,nature_remo
nature_remo,0.57,0.6484045534354725,nature_remo
nature_remo,0.49,0.6484045534354725,nature_remo
nature_remo,0.64,0.6484045534354725,nature_remo
nature_remo,0.63,0.6484045534354725,nature_remo
nature_remo,0.63,0.6484045534354725,nature_remo
nature_remo,0.62,0.6484045534354725,nature_remo
nature_remo,0.6,0.6484045534354725,nature_remo
nature_remo,0.63,0.6484045534354725,nature_remo
irobot_roomba,0.6180752653653314,0.7039889751178636,nature_remo
nature_remo,0.64,0.6484045534354725,nature_remo
nature_remo,0.61,0.6484045534354725,nature_remo
nature_remo,0.63,0.6484045534354725,nature_remo
nature_remo,0.64,0.6484045534354725,nature_remo
nature_remo,0.64,0.6484045534354725,nature_remo
nature_remo,0.64,0.6484045534354725,nature_remo
nature_remo,0.57,0.6484045534354725,nature_remo
nature_remo,0.6,0.6484045534354725,nature_remo
nature_remo,0.63,0.6484045534354725,nature_remo
link_japan_eremote,0.7164136959914029,0.7354424401961304,nature_remo
nature_remo,0.52,0.6484045534354725,nature_remo
nature_remo,0.62,0.6484045534354725,nature_remo
nature_remo,0.64,0.6484045534354725,nature_remo
nature_remo,0.64,0.6484045534354725,nature_remo
nature_remo,0.61,0.6484045534354725,nature_remo
nature_remo,0.57,0.6484045534354725,nature_remo
nature_remo,0.61,0.6484045534354725,nature_remo
nature_remo,0.62,0.6484045534354725,nature_remo
nature_remo,0.61,0.6484045534354725,nature_remo
nature_remo,0.56,0.6484045534354725,nature_remo
nature_remo,0.57,0.6484045534354725,nature_remo
nature_remo,0.57,0.6484045534354725,nature_remo
nature_remo,0.55,0.6484045534354725,nature_remo
nature_remo,0.62,0.6484045534354725,nature_remo
nature_remo,0.64,0.6484045534354725,nature_remo
nature_remo,0.61,0.6484045534354725,nature_remo
nature_remo,0.63,0.6484045534354725,nature_remo
nature_remo,0.63,0.6484045534354725,nature_remo
nature_remo,0.64,0.6484045534354725,nature_remo
nature_remo,0.63,0.6484045534354725,nature_remo
nature_remo,0.61,0.6484045534354725,nature_remo
nature_remo,0.61,0.6484045534354725,nature_remo
nature_remo,0.63,0.6484045534354725,nature_remo
nature_remo,0.58,0.6484045534354725,nature_remo
