class,confidence_prediction,confidence_threshold,true_label,correct
amazon_echo_gen2,0.5601389000312869,0.9609296300214812,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
jvc_kenwood_cu-hb1,0.79,0.8514329907564308,jvc_kenwood_cu-hb1,True
amazon_echo_gen2,0.6047240400055618,0.9609296300214812,jvc_kenwood_cu-hb1,False
jvc_kenwood_cu-hb1,0.797414192770977,0.8514329907564308,jvc_kenwood_cu-hb1,True
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
jvc_kenwood_cu-hb1,0.7687085847785292,0.8514329907564308,jvc_kenwood_cu-hb1,True
jvc_kenwood_cu-hb1,0.48,0.8514329907564308,jvc_kenwood_cu-hb1,True
jvc_kenwood_cu-hb1,0.6198767815093278,0.8514329907564308,jvc_kenwood_cu-hb1,True
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
google_home_gen1,0.6,0.9082779722395076,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
jvc_kenwood_cu-hb1,0.79,0.8514329907564308,jvc_kenwood_cu-hb1,True
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
jvc_kenwood_cu-hb1,0.8,0.8514329907564308,jvc_kenwood_cu-hb1,True
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
jvc_kenwood_cu-hb1,0.85,0.8514329907564308,jvc_kenwood_cu-hb1,True
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
jvc_kenwood_cu-hb1,0.48,0.8514329907564308,jvc_kenwood_cu-hb1,True
au_network_camera,0.33,0.7929061444505349,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.49,0.9563090531980772,jvc_kenwood_cu-hb1,False
candy_house_sesami_wi-fi_access_point,0.6686509348443433,0.9275888296362337,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.5,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
sony_bravia,0.52,0.9563090531980772,jvc_kenwood_cu-hb1,False
